image_path,rotation_matrix,translation_vector,calibration_matrix,dataset,scene
temple_of_baal_shamin_palmyra.png,0.9907455064494318;0.0010746186840285687;0.1357283560828133;-0.000791410414396279;0.9999973959135154;-0.0021405223064141256;-0.13573030287969967;0.0020132960220017437;0.9907437769268667,-10.451212363555586;0.8435347331912392;3.7048397061009903,2887.3869273143378;0.0;1446.0;0.0;2887.3869273143378;999.5;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
00233.png,-0.11918064873180456;0.4444963451273834;-0.8878169699528524;-0.7174474024481652;0.5795711905682056;0.38647957227223945;0.6863418956236365;0.6830228650870707;0.24982907773116136,0.7238459344848096;-1.6085933309398208;4.637704875411536,868.5828449748733;0.0;290.0;0.0;868.5828449748733;512.0;0.0;0.0;1.0,lizard,lizard
00709.png,0.07770814618343225;-0.6200676755610837;0.7806904135065379;0.5817758330117644;0.664111960320726;0.469565953069886;-0.8096285099600941;0.4176977159181474;0.4123472977679865,-3.9032404475062275;-1.1867419397870074;3.546873786527014,878.2543712774423;0.0;290.0;0.0;878.2543712774423;512.0;0.0;0.0;1.0,lizard,lizard
00217.png,-0.2095112989986625;-0.6815509134522983;0.7011371962492298;-0.07031974474680802;0.7256967438077938;0.6844116959298029;-0.975274396818986;0.09408819479139208;-0.19996815374019006,-9.406278963278035;1.1294469174632997;24.61657485786103,703.7743003045042;0.0;384.0;0.0;703.7743003045042;512.0;0.0;0.0;1.0,pond,pond
00755.png,0.9070883601432164;-0.24803891212079263;0.34009911050548824;0.1984618981562192;0.9645192498451992;0.1741134447947218;-0.37121904837025954;-0.09043956408556965;0.9241304579847431,-5.398420551468566;-2.5113749477523992;1.0064591914642567,903.8528024274518;0.0;288.0;0.0;903.8528024274518;512.0;0.0;0.0;1.0,pond,pond
00149.png,0.984730649116034;0.09341327608758387;0.14689965466977473;-0.16285160999113008;0.7925186538873406;0.5877019111453482;-0.06152155569238398;-0.6026509297190062;0.7956299108844553,16.386433363943773;0.7783521299748466;-4.199983159931215,715.0775959952068;0.0;512.0;0.0;715.0775959952068;384.0;0.0;0.0;1.0,pond,pond
00090.png,0.059822952716675815;-0.5085723560950368;0.8589385152292343;0.41058299910623897;0.7968561402172114;0.4432176583159274;-0.9098586786821262;0.3261509626140494;0.2564814504262334,-1.7758269623816845;-7.5315337524416455;12.156120372185905,893.3789830477967;0.0;288.0;0.0;893.3789830477967;512.0;0.0;0.0;1.0,pond,pond
00191.png,0.8551203492457077;0.48551340626121847;-0.18178536972630105;-0.3640938122029777;0.812039918144468;0.45609962426582695;0.36905945892417086;-0.32383314172665323;0.8711642853664534,4.56683518686734;-1.0815163751719648;4.1802630391316615,406.8614187498915;0.0;384.0;0.0;406.8614187498915;512.0;0.0;0.0;1.0,pond,pond
img_0391.png,-0.054195575129359685;0.9266700084820853;-0.37194829615984265;0.9981306813525338;0.06081316548001203;0.006074689047786241;0.028248585435815154;-0.370923785007261;-0.9282335714338084,-0.20217151688702598;4.6695448023546735;18.42540814994932,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
img_0099.png,-0.1570398836693072;0.9766773853372456;-0.1464232218875547;-0.19882789695985548;-0.17649381821236698;-0.9640110992739354;-0.9673706333808421;-0.12227516961191076;0.22190727921527675,-0.4178291284346248;3.526041576170336;32.16388462377586,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
25.png,0.9984004176495813;0.025048978197510934;0.050686829930492096;-0.003640432363582415;-0.8661590308720015;0.4997552205741144;0.05642121311482224;-0.4991403429198407;-0.864682349062658,-0.012307793497417466;0.009002068803716077;0.42147833671854606,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
070313_img_6187_syria_palmyra_roman_ruins_999x.png,0.9084976726841755;-0.0234290205330784;-0.4172326206378133;0.02543565326753851;0.9996761795925985;-0.0007506650387622927;0.4171150995472238;-0.009930606829768932;0.908799415040361,-2.078286800872733;3.5080054023619263;109.89664813353964,4752.921341815255;0.0;499.5;0.0;4752.921341815255;333.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
00086.png,-0.38783686973463016;-0.595689807093129;0.7033748760083732;0.5748726689753451;0.4401697592574284;0.6897622760780854;-0.7204887070174014;0.6718662342762943;0.17173172770278866,4.259114736153867;-10.23869712760151;9.907636871009224,905.9373969673891;0.0;288.0;0.0;905.9373969673891;512.0;0.0;0.0;1.0,pond,pond
templia_87.png,-0.43677279301023253;0.10664401614307539;0.8932281797541525;0.23562355337963675;0.9718440605027584;-0.0008143452979604837;-0.868165346220865;0.21010991382223335;-0.44960288670650206,5.389463672719929;4.438376835921562;45.36662072421084,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
06.png,0.9997589240887435;-0.01809022640438513;0.01244336825606484;0.021847809539960697;0.7632719037230418;-0.6457078861260013;0.002183328473582819;0.6458240818486422;0.7634831290743331,-0.011310620170727197;0.0017763996813955204;0.3849400769800587,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
35.png,0.9988630275639576;-0.017647967842195005;0.04428545355763312;0.03551720059504385;-0.3441539978233811;-0.9382412025934885;0.03179906645887337;0.9387473435452294;-0.343135897800156,-0.011822780876396094;0.020516988718601428;0.3957819380696076,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
img_0182.png,0.9949298086968184;-0.025133801870663264;0.09738053075455465;0.03722031703939466;0.9915385309186613;-0.12436233233238232;-0.09343085018343496;0.12735632574469632;0.9874467289564594,3.7150058927063077;-3.918144148659411;35.11529667242524,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
31.png,0.9984349087421653;-0.0019470687071831997;0.05589223495686798;0.026284611258010578;-0.8658007097963247;-0.499698159019218;0.04936448334622263;0.5003851914671635;-0.8643944747303344,-0.012068923864776886;0.02203449270354473;0.4081971698125799,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
00019.png,-0.34724841336842527;-0.42675808882185046;-0.8350425576210073;0.37886284187071123;0.7507061823884157;-0.5412052981757101;0.8578353492732508;-0.5042992775613826;-0.09899874841788536,37.87641505639438;22.768965075593513;50.9292283648274,2239.883740900353;0.0;512.0;0.0;2239.883740900353;384.0;0.0;0.0;1.0,church,church
00038.png,0.5929634223017021;-0.3565302711737184;-0.7219976077169842;0.3899689174344597;0.9116204552611182;-0.12989376037557443;0.704498845454873;-0.20453437678372421;0.6795933088740976,7.876947908965632;7.401695529773681;17.903098501155156,403.4566868608396;0.0;512.0;0.0;403.4566868608396;384.0;0.0;0.0;1.0,church,church
templia_78.png,0.20661699114396292;0.10764490675994709;0.9724823869969357;0.25125716979142276;0.954760580869606;-0.15906623729106228;-0.9456105189765074;0.2772089595705281;0.17022320386717438,14.914047033571928;1.817286094288123;54.754767594085806,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
00103.png,0.5962558476883101;0.3164780398849038;0.7377808715113886;-0.3080418369730829;0.9388617268526431;-0.1537819382291742;-0.7413428294465007;-0.1355739950059826;0.6572902715744197,-20.531774941545763;26.39005380249548;54.671121479562025,732.7691869536582;0.0;384.0;0.0;732.7691869536582;512.0;0.0;0.0;1.0,church,church
dsc_8247.png,0.9969198916020867;-0.04256425915338211;0.06587118923176866;0.07785346090501478;0.638457042938934;-0.7657097641709838;-0.009464055853337115;0.7684795951516189;0.6398043009252197,-0.0354010706922125;0.0036076542633470482;0.41088579308156103,10924.25385545293;0.0;2859.865377541796;0.0;10924.25385545293;1992.5071366542402;0.0;0.0;1.0,transp_obj_glass_cylinder,transp_obj_glass_cylinder
19739156806_e4f69d8792_o.png,0.38255616982470636;-0.03755266448065455;-0.9231687680589363;0.17013391475039255;0.9849507884211075;0.03043674490390196;0.9081328250761321;-0.16870608103753235;0.3831879829016054,22.246868944172586;-0.23597705370623773;3.233631160566221,2036.9609174538361;0.0;960.0;0.0;2036.9609174538361;720.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
00026.png,-0.213956796310673;-0.31963368565978323;-0.9230692261710477;0.558217409183276;0.7354549911266343;-0.3840563501774622;0.8016332162511636;-0.5974447782167532;0.021069494164556613,13.504786954266688;17.584906328725275;31.10207197839917,2182.8487847698148;0.0;384.0;0.0;2182.8487847698148;512.0;0.0;0.0;1.0,church,church
00284.png,0.9063650634518969;0.2680205074087252;-0.32659972345702987;-0.3279986355482103;0.9336266949760337;-0.14407667926017875;0.2663067157101961;0.23771033220391907;0.9341169793613384,-0.25930102260962146;-1.1162350975531599;0.6925696714117126,876.8014055222318;0.0;290.0;0.0;876.8014055222318;512.0;0.0;0.0;1.0,lizard,lizard
29.png,0.9983479940229372;0.007950001926039653;0.05690413253669229;0.017546743250034837;-0.9852535929623873;-0.17019832359933365;0.05471192403576055;0.17091563715494876;-0.9837654447805244,-0.012139839292633079;0.019370243857831995;0.41401039621649144,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
dsc_8236.png,0.9832246858361369;0.06717205413563879;0.16957928029576355;0.12250618799981282;-0.9320037043627802;-0.34111776405782546;0.13513493650490552;0.3561699175916666;-0.9245980417124844,-0.038731722285743564;0.01932312951425463;0.4423589692241036,10924.25385545293;0.0;2859.865377541796;0.0;10924.25385545293;1992.5071366542402;0.0;0.0;1.0,transp_obj_glass_cylinder,transp_obj_glass_cylinder
dioscuria_214.png,0.9971169992835509;-0.020351019919885804;-0.07309942358177361;-0.020066590659176764;0.8583429464916501;-0.5126838383910198;0.07317801363171993;0.5126726267280638;0.8554599675757266,-11.973735364319332;2.6899216949500966;26.06218672858892,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
00011.png,-0.422747076932537;-0.338330246781646;-0.8407244215898969;0.33843022666396516;0.8016446836177851;-0.492778634792052;0.8406841800730959;-0.4928472839937458;-0.22439176463233945,27.773105439252546;21.02019717121849;67.09744874947172,2209.8841784185324;0.0;384.0;0.0;2209.8841784185324;512.0;0.0;0.0;1.0,church,church
dscn2066.png,0.47434084771137164;-0.054472427379912744;-0.8786543773565336;0.05604106883714805;0.997927858514463;-0.0316130954562873;0.8785557232162611;-0.034245347947983125;0.4764106394150683,21.927410687878844;1.6344467879698341;16.398098153777916,3284.227552663022;0.0;1408.0;0.0;3284.227552663022;1056.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
00792.png,0.3632188366154898;-0.42641313665894676;0.8283984027099333;0.385562265064462;0.8782099500888462;0.2830000412072546;-0.848182655143367;0.2166082187951895;0.4833912111988835,-1.3973552683606651;-3.5873043177847066;1.3928701019542762,473.7421109653199;0.0;288.0;0.0;473.7421109653199;512.0;0.0;0.0;1.0,pond,pond
00807.png,0.9047974641533647;-0.024722540353103048;0.42512391706434244;-0.06585743097518182;0.9781789517845325;0.19705008772152946;-0.42071884631781103;-0.20628798870560175;0.8834256720680057,2.5663673899397406;-0.8276575031371808;-0.2979690972949779,473.4902061723763;0.0;288.0;0.0;473.4902061723763;512.0;0.0;0.0;1.0,pond,pond
00025.png,0.8334983783796809;-0.22271822547784628;0.5056451772522326;0.11717996035908798;0.9655953854653672;0.23215169277485703;-0.5399530628940676;-0.1342465776397606;0.8309203007890268,-1.9543890692432317;-0.2551558291558332;1.3260558548009287,718.4769712205484;0.0;384.0;0.0;718.4769712205484;512.0;0.0;0.0;1.0,lizard,lizard
1147302_palmyre_lei_detruit_le_temple_de_baalshamin_classe_au_patrimoine_de_lhumanite_web_tete_021277294556.png,0.9596147688759377;-0.06865634916970041;-0.27281092550312014;0.11928169776335744;0.9775737133000215;0.1735555001822143;0.2547771024520685;-0.19908777155690832;0.9462836188387879,2.2149972718053226;-4.103936977703666;-12.908652178057578,600.3312111429901;0.0;500.0;0.0;600.3312111429901;266.5;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
dscf4498.png,0.9661175980221907;-0.022689040147065288;0.2571030809792802;0.014132889294809516;0.9992846262350066;0.03507844367334949;-0.2577150523970498;-0.030256292363218494;0.9657471245312708,-17.421495303782084;2.6161332264619377;54.47184462653813,10564.992358522937;0.0;1609.5;0.0;10564.992358522937;1052.5;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
screenshot_2015_10_11_18_16_45.png,0.9084209317293306;0.07341706165640513;0.4115596504199054;-0.02524047715101319;0.99229486769647;-0.12130051053657737;-0.41729405592364277;0.09980396084817848;0.903274509930293,-32.59644595682515;0.5411943526086113;34.28709888653794,1052.5859646678466;0.0;480.0;0.0;1052.5859646678466;270.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
00084.png,0.6813365611774714;0.23936451429188194;0.6917261883871892;-0.2558678601584597;0.9632861918733451;-0.08131021266778221;-0.6857930653927529;-0.12159087895052206;0.7175677874704598,-16.51331741223615;24.192009645618384;51.234553442934235,685.9734821829041;0.0;384.0;0.0;685.9734821829041;512.0;0.0;0.0;1.0,church,church
00695.png,0.8116460577900154;0.4874521281481323;-0.3219023138124107;-0.31129306277402813;0.8272239157042758;0.4677576534442278;0.49429475613513435;-0.2794476982384041;0.8231534960179456,0.5814477707301142;-1.1669795963166585;3.3453216296528963,894.0117021866413;0.0;288.0;0.0;894.0117021866413;512.0;0.0;0.0;1.0,pond,pond
00782.png,-0.6095065902888823;-0.5156228740176608;0.6021916374246555;0.18182078456824477;0.6484294752497063;0.739243138572404;-0.7716494791635696;0.5600645207627045;-0.3014710830070333,2.3935572159676264;-2.981797933224633;1.2241695632491885,474.2455487230315;0.0;288.0;0.0;474.2455487230315;512.0;0.0;0.0;1.0,pond,pond
archive_0026.png,-0.7694286997506052;0.08540617733052183;0.6329970464969652;-0.1648850719080093;0.9308727021242988;-0.32601982378637195;-0.6170837779928948;-0.35522077263807905;-0.7021579691383004,-6.890752267241842;1.1198996628706672;4.067040940963137,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
16.png,0.9996314983892323;0.024757665980340734;0.011132178731258045;-0.022073635224402904;0.5026795705499141;0.8641909534239144;0.015799432144187782;-0.8641182253181333;0.503040824006324,-0.011861819655249996;-0.014345288910456808;0.40895887650404056,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
00407.png,0.31724955942562416;0.8157823624351942;-0.48358231376250804;-0.862630338157243;0.4600831436112911;0.21021988644148976;0.3939817467027732;0.3504606084917469;0.8496797897800243,-7.87660682354718;-0.01617354704436023;0.42917388655825117,477.2540101438228;0.0;288.0;0.0;477.2540101438228;512.0;0.0;0.0;1.0,pond,pond
00013.png,-0.35123404464437735;-0.3695096832227965;-0.8602890443841188;0.2271593037403123;0.8577465779997513;-0.46116098995246035;0.9083134352231989;-0.35739810007092276;-0.2173322375045328,33.20290669350995;12.341836955071395;66.89262828378925,2215.998222158956;0.0;384.0;0.0;2215.998222158956;512.0;0.0;0.0;1.0,church,church
00526.png,0.3524112859158348;0.6706031066845968;-0.6527616401598023;-0.5933206800810942;0.6995129165674674;0.3983117499439145;0.7237242956729143;0.2469274242773429;0.6443989377648767,-10.008699190460291;-1.2632283868416894;-0.7875784922052028,898.5579386575251;0.0;288.0;0.0;898.5579386575251;512.0;0.0;0.0;1.0,pond,pond
dioscuria_228.png,0.7410484660382228;0.06783887958337043;0.6680157613404566;0.6212040863536503;0.30835310114127445;-0.7204330975976087;-0.254858105776378;0.9488499625512096;0.18636280338802746,-4.12697889743474;3.9419055110489394;12.634723838876244,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
00271.png,0.7986708246037533;0.5121247100689788;-0.31599556209466784;-0.11451814837028818;0.6448635450503224;0.7556696381084603;0.5907711127167622;-0.567344066331794;0.5736812728140108,20.264295939892513;-0.22886870671559947;-0.2718891565265963,733.3581075244462;0.0;384.0;0.0;733.3581075244462;512.0;0.0;0.0;1.0,pond,pond
temple_of_ba_al_shamin_palmyra_syria.png,0.7114934016547894;-0.05348375371810413;-0.700654428009927;0.010154019731574968;0.9977776527906785;-0.06585325713140688;0.7026194099830915;0.03973969903944402;0.7104552913697435,14.939968046303463;0.04504033937958649;-5.699126908337749,2313.8720456077112;0.0;1018.0;0.0;2313.8720456077112;1500.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
img_0107.png,-0.1854284294358397;0.9691967171742553;-0.1620926308491702;0.19040314486218168;-0.12639007190339746;-0.9735359223731017;-0.9640347192832579;-0.21138418375768203;-0.16110179041075123,0.5182119020497377;4.3818656382590095;31.268255951166605,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
27.png,0.9982604170731849;0.017271901494744224;0.05637216621371842;0.007357539381419306;-0.9851479615204123;0.17154987766369043;0.05849791722037724;-0.17083669199247606;-0.9835612936416042,-0.012304061259656069;0.014920799122765789;0.4185738102275157,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
182z.png,0.9637872379468597;-0.035054971344858674;-0.2643582965499188;0.05470987361645403;0.9962279313696292;0.0673553152161106;0.2609999802674998;-0.07937920220688244;0.9620696193921541,1.2501052814493185;0.3729572657109326;-2.0082341006757694,2224.7408733498028;0.0;877.0;0.0;2224.7408733498028;608.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
00073.png,0.9994171611646165;-0.011959828426812338;0.0319734338734517;0.014922961279150545;0.9954504667869544;-0.09410458756243337;-0.030702494952686673;0.09452687806986923;0.995048755652729,-18.780976958731877;17.680278316411165;52.593565061095106,730.5046301130695;0.0;384.0;0.0;730.5046301130695;512.0;0.0;0.0;1.0,church,church
01037.png,-0.7458581600419985;0.2650877546850769;-0.6110843537636919;-0.40337894831980997;0.5503011293406165;0.7310636710293066;0.5300764370835289;0.7917683685033563;-0.3035157681017,-5.116512414340651;-5.646228661381824;18.714146936404994,893.7915567563244;0.0;288.0;0.0;893.7915567563244;512.0;0.0;0.0;1.0,pond,pond
00542.png,0.9921889242131898;-0.1077503229454455;0.06285703281117533;0.10607178463020829;0.993921793821854;0.029465984987959035;-0.06564994420436074;-0.022568466299244153;0.9975874644134539,0.36089825061162;-1.4724950235794982;2.4373614635537195,882.8317486978353;0.0;290.0;0.0;882.8317486978353;512.0;0.0;0.0;1.0,lizard,lizard
08.png,0.9999209993742842;-0.011167800855566883;0.0057684689808561295;0.01247355523973238;0.9382432586027623;-0.3457513530069718;-0.0015509448778227432;0.3457959917502235;0.9383084389791373,-0.011324646432420298;-0.004476275186944464;0.3867295302620051,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
00029.png,-0.4042064816342321;-0.36747378532893726;-0.8376038068806143;0.3340501441032656;0.7931815862518198;-0.5091890341078001;0.8514855380037073;-0.4856191803533598;-0.19785446733260326,17.669739959299047;15.293305078153107;46.93542741453161,1396.7137178462945;0.0;384.0;0.0;1396.7137178462945;512.0;0.0;0.0;1.0,church,church
dsc_8249.png,0.9988183775803687;-0.032897668603075934;0.03577138532685263;0.04648815151467206;0.8613225508375156;-0.5059271836811148;-0.014166876030687545;0.5069923143591407;0.8618341446034113,-0.03504725037248552;-0.003754547279471018;0.411036426975672,10924.25385545293;0.0;2859.865377541796;0.0;10924.25385545293;1992.5071366542402;0.0;0.0;1.0,transp_obj_glass_cylinder,transp_obj_glass_cylinder
00769.png,-0.8185432062020144;-0.4053918985496505;0.40699438346350264;0.16557556415552052;0.5119304030104754;0.842918735720184;-0.5500652253461473;0.7573537291542455;-0.3519141611260479,3.0870005078023106;-2.6838629416831865;-0.011173951581091588,895.4270659993576;0.0;288.0;0.0;895.4270659993576;512.0;0.0;0.0;1.0,pond,pond
05.png,0.9996508712946184;-0.02057866169828703;0.016572694488755473;0.025910442123840943;0.6406294211849042;-0.7674129225529379;0.0051753752383049845;0.7675744025141809;0.6409389612873762,-0.011340768602887843;0.0050113590161560825;0.3849259076446728,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
09.png,0.9999696493119541;-0.006658915485999459;0.004044663085854838;0.00726824089000155;0.9842775046604679;-0.17647936563158748;-0.00280590970857397;0.17650340694704153;0.9842960297627916,-0.011355337164742331;-0.007262958873662884;0.3884732280995598,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
17.png,0.9995070902448073;0.027677663815644495;0.014816324647703678;-0.023520535555740473;0.3476061218191268;0.9373455971417571;0.020793291166362683;-0.937232058243621;0.3480857768465933,-0.011941079573005265;-0.013222553051905986;0.41196133172241295,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
img_0152.png,0.961906062936228;0.050501711101274833;0.2686750886523882;-0.051536188653377064;0.9986659816540345;-0.0032059859742667846;-0.26847857893248916;-0.010762632708916555;0.9632255283118093,1.2769561506192961;0.9021301628953291;37.39547119501851,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
00074.png,0.8577346167988757;0.1610163055088944;0.4882264602673151;-0.11610773685781;0.9858215415283222;-0.12113992612049881;-0.5008096650291839;0.04721903873427272;0.864268500984716,-15.03397076352234;17.04145332055258;52.04890773276212,1453.2078507781216;0.0;384.0;0.0;1453.2078507781216;512.0;0.0;0.0;1.0,church,church
01072.png,-0.338586600394142;0.5305056664861821;-0.777124733784474;-0.4087643435772987;0.6609710920767464;0.6293082923803669;0.8475085990439024;0.5307362370000045;-0.006944154499807453,1.5213885263583469;-4.009597897553712;18.24082213478137,886.0831197073652;0.0;288.0;0.0;886.0831197073652;512.0;0.0;0.0;1.0,pond,pond
palmyre_28.png,0.99900820775258;0.02141656856757488;-0.03903756439339945;-0.021691517402974418;0.9997427059695387;-0.006633244565167587;0.038885458924061866;0.00747344977204177;0.9992157267741387,-10.114298444863548;0.9269301602686265;2.595395483159017,3368.0762584403487;0.0;2144.0;0.0;3368.0762584403487;1424.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
28.png,0.9982508175742086;0.013097361052562394;0.057652097497690846;0.012750305348232762;-0.999898334643147;0.006383579825482246;0.05772984432640761;-0.005637331932776231;-0.9983163254012871,-0.012292479440902702;0.0172699299739781;0.4166289387630785,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
dscn2034.png,0.9994145251737481;-0.023069641233068445;-0.025266549529149678;0.02297451190955233;0.9997278520359623;-0.0040489092455580755;0.02535308017281734;0.00346605206805028;0.9996725502927506,-8.459920108539087;2.2857135328632716;106.94606441296908,9278.111662619543;0.0;1408.0;0.0;9278.111662619543;1056.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
